image_id,quality,height,width,nmae,nrmse
801,1,1356,2040,0.041427985,0.049548693
801,10,1356,2040,0.008664858,0.014905518
801,20,1356,2040,0.0061106267,0.010439359
801,30,1356,2040,0.0051376433,0.009607768
801,40,1356,2040,0.005441828,0.009098109
801,50,1356,2040,0.006993488,0.010119956
801,60,1356,2040,0.0080534015,0.009980419
801,70,1356,2040,0.0053006276,0.0068154437
801,80,1356,2040,0.004614052,0.0063773566
801,95,1356,2040,0.001798226,0.003226378
802,1,1356,2040,0.07360777,0.092483565
802,10,1356,2040,0.0220449,0.028232137
802,20,1356,2040,0.015075247,0.019504527
802,30,1356,2040,0.010236529,0.013258917
802,40,1356,2040,0.008197443,0.010726581
802,50,1356,2040,0.008038248,0.010500081
802,60,1356,2040,0.0064915097,0.008482201
802,70,1356,2040,0.0054896665,0.007170257
802,80,1356,2040,0.0043180655,0.0056304536
802,95,1356,2040,0.0026491485,0.003652273
803,1,1536,2040,0.018825425,0.048920084
803,10,1536,2040,0.013008612,0.029425904
803,20,1536,2040,0.009987873,0.01856636
803,30,1536,2040,0.007407875,0.013206883
803,40,1536,2040,0.007341009,0.0121414205
803,50,1536,2040,0.0070557,0.011141194
803,60,1536,2040,0.006896543,0.010411342
803,70,1536,2040,0.005010191,0.0082711335
803,80,1536,2040,0.0037341986,0.00638331
803,95,1536,2040,0.0028806052,0.004357484
804,1,1200,2040,0.033643752,0.06442254
804,10,1200,2040,0.033482146,0.04468205
804,20,1200,2040,0.028742554,0.036008358
804,30,1200,2040,0.024600439,0.029644938
804,40,1200,2040,0.023409242,0.027971823
804,50,1200,2040,0.022418294,0.026058055
804,60,1200,2040,0.015022738,0.018719587
804,70,1200,2040,0.017125912,0.020201985
804,80,1200,2040,0.01015326,0.013001915
804,95,1200,2040,0.004715425,0.006757906
805,1,1536,2040,0.03244399,0.042471148
805,10,1536,2040,0.00806243,0.014968743
805,20,1536,2040,0.011748488,0.015946958
805,30,1536,2040,0.008379273,0.011108493
805,40,1536,2040,0.0054305815,0.007914419
805,50,1536,2040,0.0027614685,0.0058109914
805,60,1536,2040,0.0034884233,0.0060722143
